frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,138.6,,,,,,,,,,,,,,,,,,,24,1088,30,98.77856087411558,2.7236735535142165,,,,
1,138.6,,,,,,,,,,,,,,,,,,,42,184,1015,16.705197794887194,92.150955227231,,,,
2,245.6,,,,,,,,,,,,,,,,,,,21,173,1027,,,,,,
3,268.1,,,,,,,,,,,,,,,,,,,16,174,1030,15.797306610382456,93.51279200398811,,,,
4,289.4,,,,,,,,,,,,,,,,,,,42,539,1024,48.935334844805425,92.96805729328526,,,,
41,1381.9,13,270,996,24.51306198162795,90.425961976672,0.12126617885420529,0.0,18.513920435756017,0.0,11,493,971,44.759035396083625,88.15623401541015,0.0,0.12126617885420529,0.0,18.513920435756017,,,,,,,,,
42,1410.0,13,270,996,24.51306198162795,90.425961976672,-0.4284825927902344,0.0,8.871275213048339,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
43,1439.0,13,271,996,24.603851100078423,90.425961976672,-0.4500373849416059,0.0,-9.184436427379712,0.0,11,493,972,44.759035396083625,88.24702313386062,-0.46765697647762217,0.0,9.362502031584018,0.0,,,,,,,,,
44,1474.6,13,271,996,24.603851100078423,90.425961976672,0.5082441053718195,0.0,-10.16488210743639,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,0.5082441053718195,0.0,-10.16488210743639,,,,,,,,,
45,1506.6,13,270,996,24.51306198162795,90.425961976672,0.44744421849379545,0.0,9.263855455358092,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
46,1538.9,13,270,996,24.51306198162795,90.425961976672,0.452809705928583,-0.45371850591307156,27.259453261617715,-9.083453571833255,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
47,1574.6,13,271,996,24.603851100078423,90.425961976672,0.9051738525992489,-1.3577607788989174,18.103477051984974,-27.155215577978346,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
48,1606.4,13,271,996,24.603851100078423,90.425961976672,1.741788061482156,-2.1281735029586546,16.67489891314608,-42.64876759436174,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
49,1638.9,13,272,995,24.694640218528896,90.33517285822153,2.268141305493157,-2.2672343212929063,9.047178729673758,-27.186862735763437,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
50,1674.8,13,273,993,24.785429336979373,90.15359462132056,2.2715619087903427,-2.267930329526059,9.16973764244805,8.988158679232988,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
