frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
130,4345.7,,,,,,,,,,8,373,328,,,,,,,8,881,476,,,,,,
131,4381.3,,,,,,,,,,8,373,328,,,,,,,8,881,476,,,,,,
132,4413.3,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
133,4445.3,,,,,,,,,,8,373,328,,,,,,,7,880,476,,,,,,
134,4481.1,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
135,4513.2,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
136,4545.3,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
137,4581.0,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
138,4612.9,,,,,,,,,,8,373,328,,,,,,,8,880,477,,,,,,
139,4645.3,,,,,,,,,,8,373,329,,,,,,,8,880,477,,,,,,
140,4680.8,,,,,,,,,,8,374,329,,,,,,,8,881,477,,,,,,
141,4712.9,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
142,4747.4,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
143,4781.1,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
144,4816.4,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
145,4845.3,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
146,4882.6,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
147,4913.2,,,,,,,,,,8,373,328,,,,,,,8,881,477,,,,,,
148,4945.1,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
149,4981.1,,,,,,,,,,8,373,328,,,,,,,8,881,476,,,,,,
150,5013.1,,,,,,,,,,8,373,328,,,,,,,8,881,476,,,,,,
151,5048.3,,,,,,,,,,8,373,328,,,,,,,8,881,477,,,,,,
152,5082.7,,,,,,,,,,8,373,328,,,,,,,8,881,477,,,,,,
153,5113.1,,,,,,,,,,8,373,328,,,,,,,8,881,476,,,,,,
154,5145.1,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
155,5181.9,,,,,,,,,,8,373,328,,,,,,,7,880,476,,,,,,
156,5213.4,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
157,5245.1,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
158,5280.9,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
159,5314.3,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
160,5345.4,,,,,,,,,,8,373,328,,,,,,,8,881,477,,,,,,
161,5380.8,,,,,,,,,,8,373,328,,,,,,,8,880,477,,,,,,
162,5413.2,,,,,,,,,,8,373,328,,,,,,,8,881,477,,,,,,
163,5445.1,,,,,,,,,,8,373,328,,,,,,,8,881,477,,,,,,
164,5482.3,,,,,,,,,,8,373,328,,,,,,,8,881,477,,,,,,
165,5515.1,,,,,,,,,,8,373,328,,,,,,,8,880,476,,,,,,
166,5545.4,,,,,,,,,,8,373,328,,,,,,,7,878,479,,,,,,
167,5580.9,,,,,,,,,,8,371,328,,,,,,,8,876,483,,,,,,
168,5612.9,,,,,,,,,,8,370,329,,,,,,,8,873,487,,,,,,
169,5645.1,,,,,,,,,,8,369,329,,,,,,,7,870,495,,,,,,
170,5682.2,,,,,,,,,,8,369,331,,,,,,,7,865,508,,,,,,
171,5713.2,,,,,,,,,,8,370,333,,,,,,,7,859,527,,,,,,
172,5746.2,,,,,,,,,,8,370,335,,,,,,,7,852,547,,,,,,
173,5781.5,,,,,,,,,,8,370,337,,,,,,,7,845,565,,,,,,
174,5813.0,,,,,,,,,,8,371,340,,,,,,,7,837,583,,,,,,
175,5845.0,,,,,,,,,,8,370,343,,,,,,,7,828,601,,,,,,
176,5884.0,,,,,,,,,,8,370,346,,,,,,,7,821,618,,,,,,
177,5914.1,,,,,,,,,,8,370,349,,,,,,,7,812,634,,,,,,
178,5945.0,,,,,,,,,,8,370,353,,,,,,,7,804,651,,,,,,
179,5981.0,,,,,,,,,,8,370,357,,,,,,,7,795,666,,,,,,
180,6013.2,,,,,,,,,,8,369,361,,,,,,,7,786,682,,,,,,
181,6045.8,,,,,,,,,,8,369,365,,,,,,,7,777,697,,,,,,
182,6082.4,,,,,,,,,,8,368,370,,,,,,,8,767,711,,,,,,
183,6115.9,,,,,,,,,,8,367,374,,,,,,,7,758,726,,,,,,
184,6145.2,,,,,,,,,,8,366,379,,,,,,,7,749,739,,,,,,
185,6180.9,,,,,,,,,,8,365,384,,,,,,,7,739,752,,,,,,
186,6216.0,,,,,,,,,,8,363,388,,,,,,,7,730,764,,,,,,
187,6245.0,,,,,,,,,,8,361,392,,,,,,,7,720,776,,,,,,
188,6281.1,,,,,,,,,,8,359,397,,,,,,,7,710,787,,,,,,
189,6313.1,,,,,,,,,,8,357,401,,,,,,,7,701,798,,,,,,
190,6345.2,,,,,,,,,,8,354,405,,,,,,,7,690,809,,,,,,
191,6380.9,,,,,,,,,,8,352,409,,,,,,,7,680,819,,,,,,
192,6413.3,,,,,,,,,,8,349,413,,,,,,,7,670,829,,,,,,
193,6445.2,,,,,,,,,,8,347,417,,,,,,,7,660,837,,,,,,
194,6484.3,,,,,,,,,,8,343,420,,,,,,,7,651,847,,,,,,
195,6513.2,,,,,,,,,,8,341,423,,,,,,,7,641,855,,,,,,
196,6545.4,,,,,,,,,,8,338,426,,,,,,,7,631,862,,,,,,
197,6580.9,,,,,,,,,,8,336,430,,,,,,,7,622,869,,,,,,
198,6613.1,,,,,,,,,,8,332,432,,,,,,,7,612,876,,,,,,
199,6645.4,,,,,,,,,,8,329,434,,,,,,,7,606,880,,,,,,
200,6681.0,,,,,,,,,,8,324,434,,,,,,,7,605,877,,,,,,
201,6713.2,,,,,,,,,,8,319,433,,,,,,,7,603,874,,,,,,
202,6745.1,,,,,,,,,,8,315,433,,,,,,,7,601,872,,,,,,
203,6781.1,,,,,,,,,,8,311,432,,,,,,,8,600,869,,,,,,
204,6813.0,,,,,,,,,,8,306,432,,,,,,,8,599,867,,,,,,
205,6845.2,,,,,,,,,,8,303,431,,,,,,,7,598,865,,,,,,
206,6881.0,,,,,,,,,,8,299,430,,,,,,,7,596,863,,,,,,
207,6913.5,,,,,,,,,,8,295,430,,,,,,,8,594,861,,,,,,
208,6945.2,,,,,,,,,,8,293,430,,,,,,,7,594,859,,,,,,
209,6981.3,,,,,,,,,,8,289,429,,,,,,,7,592,857,,,,,,
210,7013.0,,,,,,,,,,8,286,428,,,,,,,7,591,856,,,,,,
211,7045.3,,,,,,,,,,8,283,428,,,,,,,7,589,854,,,,,,
212,7081.1,,,,,,,,,,9,281,427,,,,,,,7,588,853,,,,,,
213,7113.1,,,,,,,,,,8,279,427,,,,,,,8,587,851,,,,,,
214,7145.1,,,,,,,,,,8,276,427,,,,,,,7,586,850,,,,,,
215,7181.0,,,,,,,,,,8,275,426,,,,,,,7,585,849,,,,,,
216,7212.9,,,,,,,,,,8,274,426,,,,,,,7,584,848,,,,,,
217,7245.3,,,,,,,,,,8,272,426,,,,,,,7,583,848,,,,,,
218,7280.9,,,,,,,,,,8,271,425,,,,,,,8,583,848,,,,,,
219,7313.1,,,,,,,,,,8,270,425,,,,,,,7,582,847,,,,,,
220,7344.9,,,,,,,,,,8,269,424,,,,,,,7,582,847,,,,,,
221,7381.6,,,,,,,,,,8,269,424,,,,,,,7,581,846,,,,,,
222,7413.0,,,,,,,,,,8,269,424,,,,,,,7,582,845,,,,,,
223,7446.9,,,,,,,,,,8,268,424,,,,,,,7,581,846,,,,,,
224,7483.7,,,,,,,,,,8,268,424,,,,,,,8,581,845,,,,,,
225,7513.7,,,,,,,,,,8,268,423,,,,,,,7,581,845,,,,,,
226,7545.6,,,,,,,,,,9,269,424,,,,,,,7,581,845,,,,,,
227,7581.3,,,,,,,,,,8,268,424,,,,,,,7,581,845,,,,,,
228,7620.8,,,,,,,,,,8,268,424,,,,,,,7,581,845,,,,,,
229,7656.3,,,,,,,,,,8,268,424,,,,,,,8,581,846,,,,,,
230,7681.5,,,,,,,,,,8,268,424,,,,,,,8,581,846,,,,,,
231,7719.4,,,,,,,,,,8,268,423,,,,,,,8,581,846,,,,,,
232,7748.3,,,,,,,,,,8,268,424,,,,,,,7,582,846,,,,,,
233,7781.2,,,,,,,,,,8,269,424,,,,,,,8,581,845,,,,,,
234,7813.3,,,,,,,,,,8,269,424,,,,,,,7,581,845,,,,,,
235,7845.3,,,,,,,,,,8,269,424,,,,,,,7,581,845,,,,,,
236,7881.5,,,,,,,,,,8,268,424,,,,,,,7,581,845,,,,,,
237,7912.9,,,,,,,,,,8,268,424,,,,,,,7,581,845,,,,,,
238,7945.2,,,,,,,,,,8,268,424,,,,,,,8,581,845,,,,,,
239,7981.5,,,,,,,,,,9,269,424,,,,,,,7,581,846,,,,,,
240,8012.9,,,,,,,,,,8,268,424,,,,,,,7,582,846,,,,,,
241,8045.0,,,,,,,,,,8,269,424,,,,,,,7,582,846,,,,,,
242,8080.8,,,,,,,,,,8,268,424,,,,,,,7,582,846,,,,,,
243,8113.4,,,,,,,,,,8,268,424,,,,,,,7,582,845,,,,,,
244,8145.2,,,,,,,,,,9,268,423,,,,,,,7,581,845,,,,,,
245,8181.1,,,,,,,,,,8,269,423,,,,,,,7,581,845,,,,,,
246,8213.2,,,,,,,,,,8,267,423,,,,,,,7,581,843,,,,,,
247,8245.4,,,,,,,,,,8,267,422,,,,,,,8,581,843,,,,,,
248,8281.0,,,,,,,,,,8,266,422,,,,,,,8,581,843,,,,,,
249,8313.0,,,,,,,,,,8,266,422,,,,,,,8,581,843,,,,,,
250,8345.2,,,,,,,,,,8,266,421,,,,,,,7,582,842,,,,,,
251,8380.9,,,,,,,,,,8,266,422,,,,,,,7,582,841,,,,,,
252,8413.6,,,,,,,,,,8,267,422,,,,,,,7,583,840,,,,,,
253,8445.5,,,,,,,,,,8,267,422,,,,,,,7,586,839,,,,,,
254,8484.5,,,,,,,,,,8,267,422,,,,,,,7,588,837,,,,,,
255,8522.3,,,,,,,,,,8,268,422,,,,,,,7,593,835,,,,,,
256,8545.3,,,,,,,,,,8,269,423,,,,,,,7,598,833,,,,,,
257,8581.2,,,,,,,,,,8,269,424,,,,,,,7,601,831,,,,,,
258,8615.2,,,,,,,,,,8,269,424,,,,,,,7,605,828,,,,,,
259,8647.0,,,,,,,,,,8,269,423,,,,,,,7,607,824,,,,,,
260,8681.2,,,,,,,,,,8,268,423,,,,,,,8,611,820,,,,,,
261,8713.1,,,,,,,,,,8,268,422,,,,,,,7,614,816,,,,,,
262,8745.9,,,,,,,,,,8,267,421,,,,,,,7,618,810,,,,,,
263,8782.5,,,,,,,,,,8,267,420,,,,,,,7,623,805,,,,,,
264,8816.5,,,,,,,,,,8,266,419,,,,,,,7,628,798,,,,,,
265,8845.2,,,,,,,,,,8,265,417,,,,,,,7,634,790,,,,,,
266,8888.2,,,,,,,,,,8,264,415,,,,,,,7,639,781,,,,,,
267,8913.6,,,,,,,,,,8,263,413,,,,,,,7,646,771,,,,,,
268,8947.0,,,,,,,,,,8,262,411,,,,,,,7,653,760,,,,,,
269,8981.4,,,,,,,,,,8,264,408,,,,,,,7,660,752,,,,,,
270,9015.0,,,,,,,,,,8,268,404,,,,,,,7,667,744,,,,,,
271,9048.3,,,,,,,,,,8,272,400,,,,,,,7,673,737,,,,,,
272,9081.3,,,,,,,,,,8,276,396,,,,,,,7,680,730,,,,,,
273,9113.1,,,,,,,,,,8,280,392,,,,,,,7,687,723,,,,,,
274,9145.3,,,,,,,,,,8,283,389,,,,,,,7,693,716,,,,,,
275,9181.4,,,,,,,,,,8,287,385,,,,,,,7,700,710,,,,,,
276,9213.0,,,,,,,,,,8,290,381,,,,,,,7,706,703,,,,,,
277,9245.2,,,,,,,,,,8,294,378,,,,,,,7,711,696,,,,,,
278,9284.1,,,,,,,,,,8,297,374,,,,,,,7,716,690,,,,,,
279,9316.4,,,,,,,,,,9,300,370,,,,,,,7,721,683,,,,,,
280,9345.2,,,,,,,,,,8,302,368,,,,,,,7,726,677,,,,,,
281,9381.9,,,,,,,,,,8,304,365,,,,,,,7,731,671,,,,,,
282,9413.4,,,,,,,,,,8,307,363,,,,,,,7,735,665,,,,,,
283,9445.3,,,,,,,,,,8,308,360,,,,,,,7,739,659,,,,,,
284,9481.2,,,,,,,,,,8,310,358,,,,,,,7,743,654,,,,,,
285,9513.4,,,,,,,,,,8,311,355,,,,,,,7,746,649,,,,,,
286,9545.3,,,,,,,,,,9,313,353,,,,,,,7,750,644,,,,,,
287,9580.9,,,,,,,,,,8,313,352,,,,,,,7,752,639,,,,,,
288,9614.9,,,,,,,,,,8,314,350,,,,,,,8,756,635,,,,,,
289,9645.1,,,,,,,,,,8,315,348,,,,,,,7,758,631,,,,,,
290,9681.1,,,,,,,,,,8,316,347,,,,,,,7,760,627,,,,,,
291,9714.1,,,,,,,,,,8,317,346,,,,,,,7,762,623,,,,,,
292,9747.5,,,,,,,,,,9,317,344,,,,,,,7,765,619,,,,,,
293,9783.1,,,,,,,,,,8,318,343,,,,,,,7,767,616,,,,,,
294,9815.8,,,,,,,,,,8,318,342,,,,,,,7,768,612,,,,,,
295,9845.3,,,,,,,,,,9,319,341,,,,,,,7,769,609,,,,,,
296,9881.0,,,,,,,,,,8,319,340,,,,,,,7,772,607,,,,,,
297,9916.3,,,,,,,,,,8,319,339,,,,,,,8,773,605,,,,,,
298,9945.3,,,,,,,,,,8,320,338,,,,,,,7,774,602,,,,,,
299,9981.3,,,,,,,,,,8,320,338,,,,,,,7,775,600,,,,,,
300,10013.1,,,,,,,,,,8,320,337,,,,,,,7,776,599,,,,,,
301,10048.3,,,,,,,,,,8,321,337,,,,,,,7,777,598,,,,,,
302,10084.3,,,,,,,,,,8,321,336,,,,,,,8,778,597,,,,,,
303,10113.2,,,,,,,,,,8,321,336,,,,,,,7,778,596,,,,,,
304,10152.3,,,,,,,,,,8,321,336,,,,,,,7,778,596,,,,,,
305,10180.9,,,,,,,,,,8,321,336,,,,,,,7,778,594,,,,,,
306,10216.3,,,,,,,,,,8,321,336,,,,,,,7,778,594,,,,,,
307,10245.1,,,,,,,,,,8,321,335,,,,,,,7,779,595,,,,,,
308,10280.9,,,,,,,,,,8,321,335,,,,,,,7,778,595,,,,,,
309,10313.2,,,,,,,,,,9,321,335,,,,,,,7,777,596,,,,,,
310,10345.1,,,,,,,,,,8,322,337,,,,,,,7,778,599,,,,,,
311,10381.0,,,,,,,,,,8,325,339,,,,,,,7,779,604,,,,,,
312,10413.1,,,,,,,,,,8,327,341,,,,,,,8,780,609,,,,,,
313,10445.7,,,,,,,,,,8,330,344,,,,,,,8,781,614,,,,,,
314,10481.5,,,,,,,,,,8,331,346,,,,,,,7,781,618,,,,,,
315,10516.3,,,,,,,,,,8,334,348,,,,,,,8,782,622,,,,,,
316,10545.2,,,,,,,,,,8,335,350,,,,,,,7,782,626,,,,,,
317,10584.3,,,,,,,,,,8,336,352,,,,,,,7,783,629,,,,,,
318,10613.4,,,,,,,,,,8,338,354,,,,,,,7,784,632,,,,,,
319,10646.3,,,,,,,,,,8,339,356,,,,,,,7,784,635,,,,,,
320,10680.9,,,,,,,,,,8,340,357,,,,,,,8,784,638,,,,,,
321,10713.2,,,,,,,,,,8,340,359,,,,,,,8,785,640,,,,,,
322,10754.2,,,,,,,,,,8,341,360,,,,,,,8,785,643,,,,,,
323,10781.2,,,,,,,,,,8,341,362,,,,,,,8,784,644,,,,,,
324,10813.1,,,,,,,,,,8,342,363,,,,,,,7,784,646,,,,,,
325,10845.2,,,,,,,,,,8,341,363,,,,,,,7,783,647,,,,,,
326,10884.4,,,,,,,,,,8,341,364,,,,,,,7,783,648,,,,,,
327,10913.3,,,,,,,,,,8,341,364,,,,,,,8,782,650,,,,,,
328,10945.0,,,,,,,,,,8,340,365,,,,,,,7,781,650,,,,,,
329,10981.1,,,,,,,,,,8,341,365,,,,,,,7,781,651,,,,,,
330,11013.2,,,,,,,,,,8,340,365,,,,,,,7,780,652,,,,,,
331,11047.5,,,,,,,,,,8,340,365,,,,,,,7,780,652,,,,,,
