frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
125,4179.5,11,563,100,,,,,,,,,,,,,,,
126,4212.9,11,561,100,,,,,,,,,,,,,,,
127,4244.6,11,559,101,,,,,,,,,,,,,,,
128,4282.9,11,558,101,,,,,,,,,,,,,,,
129,4314.0,11,556,100,,,,,,,,,,,,,,,
130,4344.6,11,555,100,,,,,,,,,,,,,,,
131,4376.6,11,554,99,,,,,,,,,,,,,,,
132,4412.2,11,554,99,,,,,,,,,,,,,,,
133,4444.8,11,553,98,,,,,,,,,,,,,,,
134,4476.9,11,552,97,,,,,,,,,,,,,,,
135,4512.7,11,550,97,,,,,,,,,,,,,,,
136,4545.2,11,549,97,,,,,,,,,,,,,,,
137,4576.6,11,547,97,,,,,,,,,,,,,,,
138,4612.7,11,547,97,,,,,,,,,,,,,,,
139,4644.6,11,547,97,,,,,,,,,,,,,,,
140,4677.7,11,549,97,,,,,,,,,,,,,,,
141,4712.9,11,550,97,,,,,,,,,,,,,,,
142,4744.7,11,552,97,,,,,,,,,,,,,,,
143,4776.8,11,554,97,,,,,,,,,,,,,,,
144,4812.4,11,555,97,,,,,,,,,,,,,,,
145,4844.4,11,556,97,,,,,,,,,,,,,,,
146,4878.6,11,556,97,,,,,,,,,,,,,,,
147,4912.5,11,556,97,,,,,,,,,,,,,,,
148,4944.9,11,556,97,,,,,,,,,,,,,,,
149,4976.6,11,556,97,,,,,,,,,,,,,,,
150,5012.5,11,556,97,,,,,,,,,,,,,,,
151,5049.8,11,556,97,,,,,,,,,,,,,,,
152,5077.0,11,556,97,,,,,,,,,,,,,,,
153,5112.7,11,557,97,,,,,,,,,,,,,,,
154,5144.6,11,557,97,,,,,,,,,,,,,,,
155,5176.6,11,558,97,,,,,,,,,,,,,,,
156,5212.6,11,558,97,,,,,,,,,,,,,,,
157,5244.5,11,559,96,,,,,,,,,,,,,,,
158,5276.7,11,559,97,,,,,,,,,,,,,,,
159,5312.5,11,560,96,,,,,,,,,,,,,,,
160,5344.4,11,560,97,,,,,,,,,,,,,,,
161,5377.2,11,560,96,,,,,,,,,,,,,,,
162,5412.5,11,561,96,,,,,,,,,,,,,,,
163,5444.8,11,561,96,,,,,,,,,,,,,,,
164,5476.7,11,561,96,,,,,,,,,,,,,,,
165,5512.6,11,562,96,,,,,,,,,,,,,,,
166,5544.5,11,563,96,,,,,,,,,,,,,,,
167,5577.6,11,562,96,,,,,,,,,,,,,,,
168,5612.7,11,562,96,,,,,,,,,,,,,,,
169,5644.4,11,562,96,,,,,,,,,,,,,,,
170,5676.5,11,562,96,,,,,,,,,,,,,,,
171,5712.8,11,562,96,,,,,,,,,,,,,,,
172,5744.9,11,562,96,,,,,,,,,,,,,,,
173,5782.6,11,562,96,,,,,,,,,,,,,,,
174,5812.4,11,563,96,,,,,,,,,,,,,,,
175,5844.9,11,563,96,,,,,,,,,,,,,,,
176,5876.8,11,563,97,,,,,,,,,,,,,,,
177,5912.4,11,564,97,,,,,,,,,,,,,,,
178,5944.4,11,565,97,,,,,,,,,,,,,,,
179,5976.6,11,566,97,,,,,,,,,,,,,,,
180,6012.5,11,567,98,,,,,,,,,,,,,,,
181,6044.3,11,568,99,,,,,,,,,,,,,,,
182,6076.7,11,569,100,,,,,,,,,,,,,,,
183,6113.6,11,569,101,,,,,,,,,,,,,,,
184,6144.6,11,569,102,,,,,,,,,,,,,,,
185,6176.5,11,569,102,,,,,,,,,,,,,,,
186,6212.9,11,568,102,,,,,,,,,,,,,,,
187,6246.7,11,568,103,,,,,,,,,,,,,,,
188,6276.9,11,569,103,,,,,,,,,,,,,,,
189,6315.2,11,569,103,,,,,,,,,,,,,,,
190,6350.6,11,570,103,,,,,,,,,,,,,,,
191,6381.3,11,570,103,,,,,,,,,,,,,,,
192,6412.5,11,569,103,,,,,,,,,,,,,,,
193,6444.7,11,569,103,,,,,,,,,,,,,,,
194,6478.6,11,568,103,,,,,,,,,,,,,,,
195,6512.8,11,567,103,,,,,,,,,,,,,,,
196,6544.4,11,567,103,,,,,,,,,,,,,,,
197,6576.7,11,567,102,,,,,,,,,,,,,,,
198,6613.7,11,567,102,,,,,,,,,,,,,,,
199,6645.0,11,567,101,,,,,,,,,,,,,,,
200,6676.8,11,568,101,,,,,,,,,,,,,,,
201,6712.8,11,568,100,,,,,,,,,,,,,,,
202,6745.9,11,567,100,,,,,,,,,,,,,,,
203,6776.6,11,567,100,,,,,,,,,,,,,,,
204,6812.4,11,566,100,,,,,,,,,,,,,,,
205,6844.7,11,565,100,,,,,,,,,,,,,,,
206,6878.8,11,565,100,,,,,,,,,,,,,,,
207,6912.5,11,565,100,,,,,,,,,,,,,,,
208,6944.9,11,565,100,,,,,,,,,,,,,,,
209,6976.5,11,565,100,,,,,,,,,,,,,,,
210,7012.6,11,565,100,,,,,,,,,,,,,,,
211,7048.0,11,565,100,,,,,,,,,,,,,,,
212,7076.7,11,565,100,,,,,,,,,,,,,,,
213,7112.5,11,565,100,,,,,,,,,,,,,,,
214,7146.7,11,565,100,,,,,,,,,,,,,,,
215,7176.7,11,565,100,,,,,,,,,,,,,,,
216,7212.7,11,565,100,,,,,,,,,,,,,,,
217,7244.3,11,565,100,,,,,,,,,,,,,,,
218,7276.8,11,566,99,,,,,,,,,,,,,,,
219,7312.6,11,566,99,,,,,,,,,,,,,,,
220,7344.4,11,566,99,,,,,,,,,,,,,,,
221,7377.3,11,566,99,,,,,,,,,,,,,,,
222,7412.4,11,566,99,,,,,,,,,,,,,,,
223,7449.3,11,566,99,,,,,,,,,,,,,,,
224,7476.7,11,566,99,,,,,,,,,,,,,,,
225,7512.6,11,566,99,,,,,,,,,,,,,,,
226,7546.6,11,565,99,,,,,,,,,,,,,,,
227,7576.8,11,565,99,,,,,,,,,,,,,,,
228,7614.1,11,566,99,,,,,,,,,,,,,,,
229,7650.1,11,565,98,,,,,,,,,,,,,,,
230,7678.6,11,566,98,,,,,,,,,,,,,,,
231,7714.7,11,566,97,,,,,,,,,,,,,,,
232,7744.8,11,565,96,,,,,,,,,,,,,,,
233,7776.8,11,564,96,,,,,,,,,,,,,,,
234,7812.8,11,564,96,,,,,,,,,,,,,,,
235,7844.5,11,563,96,,,,,,,,,,,,,,,
236,7876.5,11,562,96,,,,,,,,,,,,,,,
237,7912.4,11,562,96,,,,,,,,,,,,,,,
238,7944.8,11,562,97,,,,,,,,,,,,,,,
239,7976.8,11,562,97,,,,,,,,,,,,,,,
240,8012.8,11,562,97,,,,,,,,,,,,,,,
241,8044.5,11,563,97,,,,,,,,,,,,,,,
242,8076.7,11,563,97,,,,,,,,,,,,,,,
243,8112.7,11,563,97,,,,,,,,,,,,,,,
244,8144.4,11,563,97,,,,,,,,,,,,,,,
245,8176.5,11,563,97,,,,,,,,,,,,,,,
246,8212.5,11,563,97,,,,,,,,,,,,,,,
247,8244.9,11,563,97,,,,,,,,,,,,,,,
248,8282.6,11,563,97,,,,,,,,,,,,,,,
249,8312.3,11,563,97,,,,,,,,,,,,,,,
250,8344.5,11,562,97,,,,,,,,,,,,,,,
251,8376.7,11,562,97,,,,,,,,,,,,,,,
252,8412.5,11,562,97,,,,,,,,,,,,,,,
253,8445.0,11,562,97,,,,,,,,,,,,,,,
254,8476.8,11,562,97,,,,,,,,,,,,,,,
255,8512.4,11,562,97,,,,,,,,,,,,,,,
256,8544.5,11,562,97,,,,,,,,,,,,,,,
257,8576.9,11,563,97,,,,,,,,,,,,,,,
258,8612.8,11,563,97,,,,,,,,,,,,,,,
259,8644.8,11,564,97,,,,,,,,,,,,,,,
260,8678.6,11,564,97,,,,,,,,,,,,,,,
261,8713.2,11,565,97,,,,,,,,,,,,,,,
262,8744.5,11,565,97,,,,,,,,,,,,,,,
263,8777.1,11,565,97,,,,,,,,,,,,,,,
264,8812.6,11,566,97,,,,,,,,,,,,,,,
265,8844.9,11,566,97,,,,,,,,,,,,,,,
266,8877.1,11,566,97,,,,,,,,,,,,,,,
267,8912.7,11,565,97,,,,,,,,,,,,,,,
268,8944.6,11,564,97,,,,,,,,,,,,,,,
269,8977.0,11,563,97,,,,,,,,,,,,,,,
270,9012.7,11,564,97,,,,,,,,,,,,,,,
271,9046.7,11,564,96,,,,,,,,,,,,,,,
272,9076.7,11,564,96,,,,,,,,,,,,,,,
273,9113.0,11,565,96,,,,,,,,,,,,,,,
274,9144.7,11,565,96,,,,,,,,,,,,,,,
275,9176.7,11,565,96,,,,,,,,,,,,,,,
276,9212.6,11,565,96,,,,,,,,,,,,,,,
277,9244.6,11,565,97,,,,,,,,,,,,,,,
278,9278.3,11,565,97,,,,,,,,,,,,,,,
279,9320.4,11,565,97,,,,,,,,,,,,,,,
280,9344.5,11,565,97,,,,,,,,,,,,,,,
281,9376.4,11,565,97,,,,,,,,,,,,,,,
282,9412.4,11,566,99,,,,,,,,,,,,,,,
283,9444.5,11,565,100,,,,,,,,,,,,,,,
284,9481.3,11,565,103,,,,,,,,,,,,,,,
285,9514.6,11,564,107,,,,,,,,,,,,,,,
286,9544.6,11,564,111,,,,,,,,,,,,,,,
287,9576.7,11,563,117,,,,,,,,,,,,,,,
288,9612.7,11,563,123,,,,,,,,,,,,,,,
289,9644.4,11,562,130,,,,,,,,,,,,,,,
290,9677.0,11,561,138,,,,,,,,,,,,,,,
291,9713.1,11,559,147,,,,,,,,,,,,,,,
292,9744.8,11,559,157,,,,,,,,,,,,,,,
293,9776.7,11,557,168,,,,,,,,,,,,,,,
294,9812.7,11,556,179,,,,,,,,,,,,,,,
295,9844.8,11,554,192,,,,,,,,,,,,,,,
296,9876.8,11,553,204,,,,,,,,,,,,,,,
297,9912.7,11,551,219,,,,,,,,,,,,,,,
298,9944.6,11,550,233,,,,,,,,,,,,,,,
299,9976.4,11,548,249,,,,,,,,,,,,,,,
300,10012.5,11,546,265,,,,,,,,,,,,,,,
301,10044.6,11,544,282,,,,,,,,,,,,,,,
302,10076.9,11,542,300,,,,,,,,,,,,,,,
