frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
732,24840.8,10,660,317,,,,,,,,,,,,,,,
733,24873.2,10,663,338,,,,,,,,,,,,,,,
734,24906.3,10,666,358,,,,,,,,,,,,,,,
735,24943,5,668,372,,,,,,,,,,,,,,,
737,25005.1,5,673,425,,,,,,,,,,,,,,,
835,28372.9,6,722,916,,,,,,,,,,,,,,,
836,28411,7,721,915,,,,,,,,,,,,,,,
838,28472.8,6,722,902,,,,,,,,,,,,,,,
839,28505.2,9,720,902,,,,,,,,,,,,,,,
840,28540.9,9,720,899,,,,,,,,,,,,,,,
841,28572.9,9,720,896,,,,,,,,,,,,,,,
842,28607.7,7,723,894,,,,,,,,,,,,,,,
843,28643.1,6,723,895,,,,,,,,,,,,,,,
844,28675.6,5,721,892,,,,,,,,,,,,,,,
846,28742.4,5,714,859,,,,,,,,,,,,,,,
847,28773.2,9,707,829,,,,,,,,,,,,,,,
848,28805,8,705,796,,,,,,,,,,,,,,,
861,29241.1,8,653,456,,,,,,,,,,,,,,,
862,29275.2,10,649,435,,,,,,,,,,,,,,,
863,29305.3,5,646,419,,,,,,,,,,,,,,,
864,29341.1,7,641,389,,,,,,,,,,,,,,,
865,29372.8,10,637,371,,,,,,,,,,,,,,,
866,29440.7,8,631,329,,,,,,,,,,,,,,,
867,29473.3,9,627,311,,,,,,,,,,,,,,,
868,29505.2,10,623,293,,,,,,,,,,,,,,,
869,29541.1,8,618,274,,,,,,,,,,,,,,,
870,29574.8,8,614,256,,,,,,,,,,,,,,,
871,29605.7,8,611,239,,,,,,,,,,,,,,,
872,29641,9,606,223,,,,,,,,,,,,,,,
873,29673.4,8,603,207,,,,,,,,,,,,,,,
874,29740.7,9,594,177,,,,,,,,,,,,,,,
875,29841.3,9,584,139,,,,,,,,,,,,,,,
876,29874.6,9,580,128,,,,,,,,,,,,,,,
877,29905.6,8,576,117,,,,,,,,,,,,,,,
878,29957.6,9,574,106,,,,,,,,,,,,,,,
879,29973.2,9,569,97,,,,,,,,,,,,,,,
880,30005.3,9,564,88,,,,,,,,,,,,,,,
881,30041.1,10,562,82,,,,,,,,,,,,,,,
882,30073.1,8,558,74,,,,,,,,,,,,,,,
883,30105.2,7,554,68,,,,,,,,,,,,,,,
884,30140.8,8,551,60,,,,,,,,,,,,,,,
885,30173.2,9,546,63,,,,,,,,,,,,,,,
886,30205,9,544,67,,,,,,,,,,,,,,,
887,30240.7,10,541,74,,,,,,,,,,,,,,,
888,30272.9,10,539,79,,,,,,,,,,,,,,,
889,30305.3,9,535,85,,,,,,,,,,,,,,,
890,30341.4,10,532,94,,,,,,,,,,,,,,,
891,30373.1,9,529,102,,,,,,,,,,,,,,,
892,30405.3,10,526,111,,,,,,,,,,,,,,,
893,30443.1,10,523,121,,,,,,,,,,,,,,,
894,30473.1,10,521,131,,,,,,,,,,,,,,,
895,30505.2,10,516,143,,,,,,,,,,,,,,,
896,30540.8,10,515,155,,,,,,,,,,,,,,,
897,30573,10,510,167,,,,,,,,,,,,,,,
898,30605.2,10,508,182,,,,,,,,,,,,,,,
899,30644.1,10,506,196,,,,,,,,,,,,,,,
900,30673.3,10,504,211,,,,,,,,,,,,,,,
901,30705.2,10,501,227,,,,,,,,,,,,,,,
