frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
13,446.0,12,98,688,8.897333608146441,62.46291349392604,-0.4584978206141792,-0.4584978206141792,9.097178980440068,9.097178980440068,11,505,932,45.848504817489314,84.61545839584167,-1.801436377676715,-0.9061440063016912,-17.869458711578723,0.10829974976713774,,,,,,,,,,,,,,,,,,
14,478.0,12,98,688,8.897333608146441,62.46291349392604,0.0,0.0,0.0,0.0,11,503,932,45.66692658058837,84.61545839584167,-1.8157896759219643,-0.9097179126286624,18.157677551844774,-0.03653456247855947,,,,,,,,,,,,,,,,,,
15,509.8,12,99,688,8.988122726596915,62.46291349392604,-0.0009124479495651609,0.0,-18.248958991297226,0.0,11,502,931,45.57613746213789,84.5246692773912,-1.8185092208501614,-1.3647943635872575,36.47962328686382,9.110758473849211,,,,,,,,,,,,,,,,,,
16,546.8,12,98,688,8.897333608146441,62.46291349392604,0.0,0.0,0.0,0.0,11,502,931,45.57613746213789,84.5246692773912,-1.8013825613241665,-0.9029362599715092,17.870526496351513,-0.04465398924765611,,,,,,,,,,,,,,,,,,
17,577.6,12,98,688,8.897333608146441,62.46291349392604,0.44366904126640755,0.44366904126640755,8.909016892899748,8.909016892899748,11,502,931,45.57613746213789,84.5246692773912,-0.9035192186364849,-0.9035192186365543,0.1610063293897507,0.1610063293883561,,,,,,,,,,,,,,,,,,
18,609.5,12,98,688,8.897333608146441,62.46291349392604,-0.4564503750740687,0.4519063478601674,9.110785929622127,9.065322925981294,11,502,930,45.57613746213789,84.43388015894071,-0.9038126957203348,-0.45645037507414016,-18.130645851962587,9.110785929623553,,,,,,,,,,,,,,,,,,
19,647.1,12,98,688,8.897333608146441,62.46291349392604,0.45805345951894044,0.45805345951894044,9.133668185821337,9.133668185821337,11,501,930,45.48534834368742,84.43388015894071,-0.9088291248064662,-0.4507756652875962,-0.07285079310725476,9.060817392715501,,,,,,,,,,,,,,,,,,
20,679.0,12,99,689,8.988122726596915,62.55370261237651,0.4418640975842094,0.4418640975842094,-8.944617360004244,-8.944617360004244,11,501,930,45.48534834368742,84.43388015894071,-1.3727163031598089,-0.44186409758427864,-9.415386694741315,8.944617360005644,,,,,,,,,,,,,,,,,,
21,709.7,12,98,689,8.897333608146441,62.55370261237651,0.4085862032467216,0.46854110620858486,8.155413238457514,-8.733291821222462,11,500,930,45.39455922523695,84.43388015894071,-1.3456684156638914,0.0,9.311170403987408,0.0,,,,,,,,,,,,,,,,,,
22,746.6,12,99,689,8.988122726596915,62.55370261237651,0.45484700796076255,0.45484700796076255,-9.198119473422906,-9.198119473422906,11,500,930,45.39455922523695,84.43388015894071,-1.375612248777296,0.0,-9.309724563090327,0.0,,,,,,,,,,,,,,,,,,
23,777.8,12,99,689,8.988122726596915,62.55370261237651,0.0,0.4518844412055115,0.0,9.147458323998213,11,499,930,45.30377010678647,84.43388015894071,-0.9240053193126073,0.0,18.498604991243372,0.0,,,,,,,,,,,,,,,,,,
24,817.0,12,99,689,8.988122726596915,62.55370261237651,0.39195144489830414,0.5262713651499504,-8.465473971885615,9.80934510997112,11,499,930,45.30377010678647,84.43388015894071,-0.9182228100482546,0.5262713651500328,-1.3438711380855064,9.809345109972657,,,,,,,,,,,,,,,,,,
