frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,133.7,,,,,,,,,,,,,,,,,,,20,1064,187,96.59962203130422,16.97756515023862,,,,,,,,,,,,,
1,133.7,5,1090,230,98.96013911101655,20.881497243608994,,,,,,,,,,,,,,14,1063,182,96.50883291285375,16.523619557986247,,,,,,,,,,,,,
2,239.6,,,,,,,,,,,,,,,,,,,12,1064,180,,,,,,,,,,,,,,,
3,260.4,,,,,,,,,,,,,,,,,,,25,1097,73,99.59566294016986,6.627605646884594,,,,,,,,,,,,,
4,278.5,5,1062,211,96.41804379440327,19.15650399304999,,,,,,,,,,,,,,23,1093,138,99.23250646636797,12.528898346165397,,,,,,,,,,,,,
13,477.1,,,,,,,,,,10,1056,230,95.87330908370042,20.881497243608994,2.154639263354012,0.3298984607671323,-24.975208256966585,-6.637795991290391,,,,,,,,,,10,611,14,55.47215137323955,1.2710476583066344,0.1546499620159933,-1.3401923798036817,-21.48936368206487,-9.789747407677831
14,508.8,,,,,,,,,,10,1058,230,96.05488732060138,20.881497243608994,1.4127171232505151,0.47489172105600047,-64.56998984520257,-27.655658111214727,,,,,,,,,,10,611,13,55.47215137323955,1.1802585398561605,-0.43901760130353495,-0.9139093223595398,-27.535295354118716,0.12036275709600987
15,544.4,,,,,,,,,,10,1058,230,96.05488732060138,20.881497243608994,0.019123275935165898,0.006374425311721694,-54.637931243329305,-18.212643747775484,,,,,,,,,,10,611,13,55.47215137323955,1.1802585398561605,-0.9029029857982686,-0.9092774111099946,-18.148803734638562,0.06384001313692274
16,576.5,,,,,,,,,,10,1057,230,95.96409820215091,20.881497243608994,-0.43139339954340106,0.0,-27.05764210314235,0.0,,,,,,,,,,10,610,12,55.381362254789074,1.0894694214056866,-1.3520571990568335,-1.3665264491634956,-8.826675776140906,9.259886857178563
17,608.8,,,,,,,,,,10,1056,229,95.87330908370042,20.79070812515852,-1.3607160068801467,-0.004516871564700714,9.101327242589305,18.067486258800688,,,,,,,,,,10,609,12,55.2905731363386,1.0894694214056866,-1.3607160068800754,-0.9056383807318206,9.101327242587887,0.0450560754583726
18,644.6,,,,,,,,,,10,1055,229,95.78251996524995,20.79070812515852,-1.358439998220164,0.4546236804452297,27.141658306097177,27.159734668603985,,,,,,,,,,10,609,12,55.2905731363386,1.0894694214056866,-1.3593451720726926,-0.9065318393326652,9.03818125411114,-0.009038181254101722
19,677.5,,,,,,,,,,10,1055,230,95.78251996524995,20.881497243608994,-1.3518171024461432,0.4596398934070761,8.831430164474192,9.101780067466853,,,,,,,,,,10,608,11,55.19978401788813,0.9986803029552128,-0.8921772090389971,-0.4460886045195002,17.93321023193964,8.966605115969852
20,709.3,,,,,,,,,,10,1055,230,95.78251996524995,20.881497243608994,-0.9079365801988519,0.9079365801988519,-0.0907913882351801,0.0907913882351801,,,,,,,,,,10,608,11,55.19978401788813,0.9986803029552128,-0.449428720687667,0.009079138823517956,9.03374312940034,18.158277647035927
21,744.7,,,,,,,,,,10,1055,231,95.78251996524995,20.972286362059467,-0.4562230614211203,0.9051684161196356,-9.115345882539865,-18.157841847936535,,,,,,,,,,10,608,11,55.19978401788813,0.9986803029552128,0.003638853361302493,0.003638853361302548,18.19426680650813,18.1942668065082
22,777.0,,,,,,,,,,10,1054,231,95.69173084679947,20.972286362059467,-0.4660959372577829,0.038640954646386956,8.972010341824506,-17.564070293812364,,,,,,,,,,10,608,11,55.19978401788813,0.9986803029552128,0.854909965222792,0.0,17.184119903975716,0.0
23,808.8,,,,,,,,,,10,1054,231,95.69173084679947,20.972286362059467,-1.3607289040091246,-0.44507706758741256,-9.010561854182358,-27.287045615094765,,,,,,,,,,10,608,12,55.19978401788813,1.0894694214056866,0.9029029857982686,0.006374425311721694,18.148803734638562,-18.21264374777555
