frame_no,timestamp,position_px_x-darkorange,position_px_y-darkorange,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,position_px_x-hotpink,position_px_y-hotpink,position_px_x-yellowneon,position_px_y-yellowneon
38,1283.1,353.0,870.0,6.690794873326122,19.321377032156047,4.429874144598928,2.7171039813282336,-5.97914536198475,-13.124121803672413,991.0,858.0,81.0,341.0
39,1314.2,353.0,870.0,6.827341707475634,19.389650449230803,4.538775531150585,2.476026976221131,4.408830057415116,-8.684952855576757,991.0,858.0,82.0,342.0
40,1346.5,353.0,870.0,6.895615124550391,19.389650449230803,5.113695949421857,2.7282111891348224,34.10240233501496,27.254775677098237,992.0,858.0,82.0,342.0
41,1382.2,353.0,870.0,7.100435375774659,19.526197283380316,6.4938582690373945,3.416841129297904,47.63371901361874,27.245961318701063,991.0,858.0,82.0,342.0
42,1414.6,353.0,870.0,7.305255626998929,19.59447070045507,8.90860000622181,4.801139973163549,82.63946625874486,55.00194482654132,991.0,858.0,82.0,342.0
43,1446.6,352.0,870.0,7.578349295297954,19.79929095167934,11.99162637937617,6.851379657809562,103.31878507665978,55.12621270801155,991.0,858.0,82.0,342.0
44,1482.2,353.0,870.0,7.987989797746493,20.00411120290361,15.020151756446396,8.534177134344548,122.89215073456128,75.10075878223182,991.0,858.0,82.0,342.0
45,1514.2,353.0,870.0,8.602450551419299,20.34547828827739,17.754010268617463,10.242829922526196,94.97921370903914,54.26893769078072,991.0,858.0,81.0,342.0
46,1546.2,352.0,870.0,9.285184722166862,20.755118790725927,20.66980615252912,11.521629891387551,70.94185293845942,38.65391246423712,991.0,858.0,82.0,343.0
47,1582.2,353.0,870.0,10.10446572706394,21.233032710249223,22.62854733385743,12.839421505433554,29.27576081365924,11.004128639548265,991.0,858.0,81.0,342.0
48,1614.3,353.0,870.0,10.85547331488626,21.64267321269776,23.556424204056277,13.314025691090253,20.953132653374844,7.093615127682099,991.0,858.0,81.0,342.0
49,1647.5,353.0,870.0,11.74302773685809,22.12058713222105,23.803738549432843,13.262819064665605,-9.067570669876396,-4.277028490336728,991.0,858.0,82.0,342.0
51,1714.2,353.0,870.0,13.313316329577487,23.00814155419289,23.57790679758852,13.326642972550042,-20.52305070077732,-6.841016900258985,991.0,858.0,82.0,342.0
54,1814.1,353.0,870.0,15.566339093044446,24.30533647861326,23.90629493167929,13.319641275597013,27.09738771961145,6.700842787085215,992.0,858.0,82.0,342.0
55,1846.5,352.0,870.0,16.385620097941523,24.783250398136552,24.5148096796698,13.96503578641452,24.26954072381792,5.130808944968168,991.0,858.0,82.0,343.0
56,1886.0,353.0,870.0,17.204901102838598,25.19289090058509,26.016623534142912,14.59317665982588,49.969445493740494,36.35744411012453,992.0,858.0,82.0,343.0
57,1914.1,353.0,870.0,18.092455524810436,25.670804820108387,26.57335212748571,14.789442180759185,26.243756196516884,22.695175316158227,992.0,858.0,81.0,342.0
58,1947.3,353.0,870.0,18.980009946782264,26.21699215670644,27.897719359136538,15.65165819725076,42.85168307512535,28.333921428766747,991.0,858.0,82.0,343.0
59,1982.1,352.0,870.0,19.93583778582885,26.763179493304488,30.249960221276336,17.049746554275497,38.13329513338609,14.767839853447263,992.0,858.0,82.0,343.0
60,2016.8,353.0,870.0,20.9599390419502,27.309366829902537,31.14054934001739,17.794599622867075,62.698740639543146,35.82785179402478,992.0,858.0,82.0,342.0
