frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
183,6178.0,10,878,139,,,,,,,10,228,397,,,,,,,,,,,,,,,
184,6210.1,10,878,140,,,,,,,10,229,400,,,,,,,,,,,,,,,
185,6242.2,10,879,141,,,,,,,10,231,403,,,,,,,,,,,,,,,
186,6278.1,10,879,141,,,,,,,10,233,410,,,,,,,,,,,,,,,
187,6309.9,10,880,142,,,,,,,10,238,419,,,,,,,,,,,,,,,
188,6342.3,10,881,143,,,,,,,9,245,432,,,,,,,,,,,,,,,
189,6377.8,10,883,144,,,,,,,10,254,449,,,,,,,,,,,,,,,
190,6410.1,10,884,147,,,,,,,10,264,468,,,,,,,,,,,,,,,
191,6442.1,10,886,150,,,,,,,9,278,492,,,,,,,,,,,,,,,
192,6477.8,10,889,153,,,,,,,9,294,518,,,,,,,,,,,,,,,
193,6510.0,10,892,157,,,,,,,9,313,545,,,,,,,,,,,,,,,
194,6542.1,10,896,161,,,,,,,8,335,575,,,,,,,,,,,,,,,
195,6578.0,10,899,165,,,,,,,8,357,603,,,,,,,,,,,,,,,
196,6610.2,10,904,170,,,,,,,7,382,632,,,,,,,,,,,,,,,
197,6642.2,10,908,174,,,,,,,7,408,659,,,,,,,,,,,,,,,
198,6677.9,10,912,177,,,,,,,6,435,685,,,,,,,,,,,,,,,
199,6710.1,10,917,181,,,,,,,6,463,709,,,,,,,,,,,,,,,
200,6744.0,10,921,183,,,,,,,6,491,732,,,,,,,,,,,,,,,
201,6778.0,10,925,187,,,,,,,8,517,752,,,,,,,,,,,,,,,
202,6812.4,10,930,189,,,,,,,8,543,770,,,,,,,,,,,,,,,
203,6843.1,10,933,191,,,,,,,8,567,785,,,,,,,,,,,,,,,
204,6879.5,10,938,193,,,,,,,9,591,798,,,,,,,,,,,,,,,
205,6910.0,10,941,194,,,,,,,9,612,809,,,,,,,,,,,,,,,
206,6942.3,10,944,194,,,,,,,9,625,814,,,,,,,,,,,,,,,
207,6978.0,10,945,193,,,,,,,9,625,814,,,,,,,,,,,,,,,
208,7010.1,10,945,193,,,,,,,9,625,814,,,,,,,,,,,,,,,
209,7042.5,10,944,193,,,,,,,9,626,815,,,,,,,,,,,,,,,
210,7077.9,10,943,193,,,,,,,9,626,814,,,,,,,,,,,,,,,
211,7109.9,10,941,192,,,,,,,9,625,814,,,,,,,,,,,,,,,
212,7144.7,10,940,191,,,,,,,9,625,814,,,,,,,,,,,,,,,
213,7178.2,10,940,191,,,,,,,9,625,813,,,,,,,,,,,,,,,
214,7210.2,10,940,191,,,,,,,9,624,814,,,,,,,,,,,,,,,
215,7242.3,10,940,191,,,,,,,9,624,814,,,,,,,,,,,,,,,
216,7277.9,10,939,190,,,,,,,9,624,814,,,,,,,,,,,,,,,
217,7310.1,10,936,190,,,,,,,9,623,814,,,,,,,,,,,,,,,
218,7342.7,10,935,190,,,,,,,10,622,814,,,,,,,,,,,,,,,
219,7378.1,10,933,189,,,,,,,10,622,813,,,,,,,,,,,,,,,
220,7410.6,10,931,188,,,,,,,10,620,813,,,,,,,,,,,,,,,
221,7444.7,10,929,188,,,,,,,9,618,813,,,,,,,,,,,,,,,
222,7477.9,10,926,187,,,,,,,9,613,812,,,,,,,,,,,,,,,
223,7511.0,10,922,186,,,,,,,10,606,809,,,,,,,,,,,,,,,
224,7542.2,10,917,185,,,,,,,9,596,806,,,,,,,,,,,,,,,
225,7578.0,10,911,184,,,,,,,9,582,800,,,,,,,,,,,,,,,
226,7610.1,10,905,182,,,,,,,9,565,792,,,,,,,,,,,,,,,
227,7642.2,10,897,180,,,,,,,8,543,781,,,,,,,,,,,,,,,
228,7678.1,10,888,178,,,,,,,8,520,770,,,,,,,,,,,,,,,
229,7710.1,10,879,175,,,,,,,7,496,758,,,,,,,,,,,,,,,
230,7742.4,10,870,173,,,,,,,7,472,746,,,,,,,,,,,,,,,
231,7777.8,10,860,171,,,,,,,7,450,734,,,,,,,,,,,,,,,
232,7810.0,10,851,169,,,,,,,7,431,725,,,,,,,,,,,,,,,
233,7842.9,10,842,169,,,,,,,8,413,718,,,,,,,,,,,,,,,
234,7878.1,10,832,169,,,,,,,8,398,715,,,,,,,,,,,,,,,
235,7910.1,10,823,172,,,,,,,8,383,713,,,,,,,,,,,,,,,
236,7941.9,10,812,175,,,,,,,8,370,714,,,,,,,,,,,,,,,
237,7977.8,10,802,181,,,,,,,8,358,718,,,,,,,,,,,,,,,
238,8010.6,10,791,189,,,,,,,7,345,723,,,,,,,,,,,,,,,
239,8042.3,10,781,197,,,,,,,8,334,730,,,,,,,,,,,,,,,
240,8077.9,10,772,208,,,,,,,8,323,739,,,,,,,,,,,,,,,
241,8110.0,10,764,220,,,,,,,9,312,750,,,,,,,,,,,,,,,
