frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
1703,56775.1,14,149,989,16.233094378944728,107.74852577702238,0.002192073748761457,-0.5474709684087375,-21.92073748713651,10.971362092359149,14,908,602,98.92382346363632,65.58605916862233,-6.558691252160542,-14.210132367389726,22.05265767261865,44.12730204281621,16,942,710,102.62801949641566,77.35232891980374,-6.009028210003115,-15.850353198867108,-10.839441906877013,55.12065083275428,15,946,952,103.06380726497794,103.71748891782134,-0.5452788946599758,0.547470968408666,-10.94937539477879,-10.971362092357717
1704,56811.1,14,149,989,16.233094378944728,107.74852577702238,0.0010927454723955016,-0.5460996865962472,-21.854909446635563,10.932926658583368,13,906,598,98.70592957935519,65.15027140006005,-5.456625884072535,-12.550458082461203,21.90962879928431,54.76312812768032,16,939,705,102.30117866999394,76.80759420910088,-5.456625884072463,-13.642657455653623,21.909628799285738,76.62898144484562,14,946,952,103.06380726497794,103.71748891782134,0.0010927454723956105,-0.5450069411237806,-21.854909446636984,-10.921982788052194
1705,56843.2,14,148,989,16.124147436804158,107.74852577702238,0.0,-1.1128245570105555,0.0,0.5095753546599125,13,904,594,98.48803569507405,64.71448363149777,-5.082618083682241,-11.809503810502044,36.34198779352776,62.09870571985365,16,938,701,102.19223172785338,76.37180644053862,-5.03267969892571,-13.503709838396059,13.64272199515022,74.21270165102781,15,945,951,102.95486032283736,103.60854197568078,1.1128245570105488,-0.04993838475652311,-0.509575354656951,22.69926579837458
1706,56874.9,14,148,989,16.124147436804158,107.74852577702238,-0.5469180161565346,0.0,10.916527268593823,0.0,13,903,591,98.37908875293348,64.38764280507607,-4.904830564940217,-9.814019024997611,11.090843073278702,43.971161732574366,15,936,698,101.97433784357224,76.0449656141169,-4.909188460057357,-10.903497162193505,32.88031865929638,44.0147406837479,14,945,952,102.95486032283736,103.71748891782134,-0.004357895117139979,-0.5425601210393595,21.78947558601767,-10.872948317421717
1707,56911.0,14,148,989,16.124147436804158,107.74852577702238,-0.545006941123836,0.0,10.921982788052507,0.0,13,902,589,98.27014181079291,64.16974892079493,-4.36442651087988,-8.727760276287514,-0.04377548211437826,21.767358482402358,16,935,696,101.86539090143168,75.82707172983577,-3.8183268242837634,-9.819959649479747,10.889151176463518,-0.09849483475912327,15,945,951,102.95486032283736,103.60854197568078,-0.5450069411238715,0.001092745472315769,10.921982788053219,21.85490944663254
1708,56943.4,14,148,988,16.124147436804158,107.63957883488182,0.0,0.005452832656760005,0.0,21.811330626722654,13,901,586,98.16119486865234,63.84290809437322,-4.36556510274105,-8.172484090079724,-22.029553044203226,10.496498280588636,15,934,692,101.7564439592911,75.3912839612735,-4.360112270084289,-9.26251215760085,-0.2182224174777205,10.441942676218133,15,946,952,103.06380726497794,103.71748891782134,-0.005452832656760765,-0.005452832656760005,-21.8113306267255,-21.811330626722654
1709,56975.1,14,148,989,16.124147436804158,107.74852577702238,0.0,-0.5412143865864596,0.0,-10.802682366995517,14,899,584,97.9433009843712,63.62501421009208,-4.88391210413517,-8.140935392296702,-10.673308925473338,-10.576278844331709,16,933,690,101.64749701715054,75.17339007699236,-3.798237674747992,-9.767824208270268,-10.705652285855296,-21.34661785094809,15,946,951,103.06380726497794,103.60854197568078,-0.5379687303722718,-0.003245656214187415,-32.440390461369915,21.63770809437158
1710,57010.8,14,148,989,16.124147436804158,107.74852577702238,0.0,-0.5377174441768444,0.0,-10.775900684906386,13,898,582,97.83435404223064,63.40712032581095,-5.42049399442156,-9.217005768149345,-21.119901542768375,-31.571877357388633,16,932,687,101.53855007500997,74.84654925057066,-4.334229217904664,-10.851817877006328,-21.227876499527348,-20.580026758959356,15,945,952,102.95486032283736,103.71748891782134,0.0,0.010829888163208398,0.0,-21.659776326574573
1711,57043.1,14,148,989,16.124147436804158,107.74852577702238,0.0,0.007618758616373988,0.0,-21.767881760933,13,896,579,97.6164601579495,63.08027949938924,-5.985424482595559,-9.785326984064277,-10.465118567723694,-42.850417919196474,16,930,684,101.32065619072884,74.51970842414894,-4.8964728713403245,-11.414945021638905,-10.541268079133157,-53.620134532549486,15,945,951,102.95486032283736,103.60854197568078,-0.5482851849358396,-0.007618758616373988,10.922015636171944,21.767881760933
1712,57075.6,14,148,988,16.124147436804158,107.63957883488182,-0.5460931513779171,-0.5406729055002416,-10.867525400555564,10.81345811000483,13,894,576,97.39856627366837,62.75343867296753,-5.979923435768852,-10.878501060537113,-11.137861853306408,-43.90263992662178,16,929,680,101.21170924858826,74.08392065558668,-5.439250530268611,-13.052033174293538,-21.951319963311235,-44.010774507723944,15,944,952,102.8459133806968,103.71748891782134,-1.0813458110005538,0.5406729055002416,21.626916220011072,-10.81345811000483
