frame_no,timestamp,position_px_x-darkorange,position_px_y-darkorange,position_px_x-green,position_px_y-green,position_px_x-hotpink,position_px_y-hotpink,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
53,2010.4,,,364.0,758.0,982.0,745.0,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
54,2045.1,,,364.0,758.0,982.0,745.0,0.1525257189967961,50.7910644259331,0.2387154048313803,0.0,-4.881705620273617,0.0
56,2110.6,,,364.0,758.0,982.0,745.0,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
57,2142.9,,,364.0,758.0,981.0,745.0,0.1525257189967961,50.7910644259331,0.0,-0.162576610679355,0.0,-3.324675065017479
58,2242.4,,,364.0,758.0,982.0,745.0,0.076262859498398,50.7910644259331,0.0934593866401944,-0.3058670835497304,6.872013723543642,-3.7483711219329647
60,2313.7,,,364.0,757.0,982.0,745.0,0.1525257189967961,50.7148015664347,0.0,-0.6917323826635873,0.0,-2.871528354001644
61,2378.4,,,364.0,757.0,982.0,745.0,0.1525257189967961,50.7148015664347,0.0957388838753203,-1.3605863097024142,-6.838491705380025,-11.76220573325356
63,2478.1,363.0,775.0,364.0,756.0,982.0,745.0,0.1525257189967961,50.5622758474379,0.0,-3.6044026958332993,0.0,-32.56241706168826
64,2542.4,364.0,772.0,364.0,753.0,982.0,745.0,0.076262859498398,50.33348726894271,0.2551228803551968,-6.600836927530093,8.782198979524859,-52.14328960610836
65,2578.7,364.0,768.0,364.0,751.0,982.0,745.0,0.1525257189967961,50.02843583094912,0.4488381369504498,-8.125528939905093,5.3401325038721,-53.49345106050077
66,2610.5,364.0,766.0,364.0,749.0,982.0,745.0,0.1525257189967961,49.79964725245392,0.8689503096030898,-10.299053089920536,13.12613760729742,-68.56523239582282
67,2648.3,364.0,765.0,364.0,746.0,982.0,744.0,0.1525257189967961,49.342070095463534,1.186913679475221,-10.426176799600208,8.815360966084652,-20.10108946981445
69,2710.5,364.0,765.0,365.0,738.0,982.0,745.0,0.3050514379935922,48.42691578148276,1.1167673263397804,-10.791818628040216,-8.169797272563612,58.70992163342923
70,2778.3,365.0,765.0,365.0,732.0,983.0,745.0,0.3813142974919902,47.81681290549557,1.192877079956695,-7.672815296464007,-8.723616343292754,62.46049721037143
74,2910.6,365.0,764.0,365.0,726.0,982.0,745.0,0.4575771569903882,47.13044717001,0.9316318183354564,-7.518108095913051,3.391909891702921,-43.6571627996608
75,2978.1,365.0,765.0,365.0,720.0,982.0,745.0,0.5338400164887863,46.520344294022806,1.3524410476380944,-9.660592923879674,3.2881153850979192,-34.26713271969746
77,3042.6,365.0,764.0,366.0,713.0,982.0,745.0,0.6101028759871844,45.757715699038826,1.3601729837326753,-10.090512677167554,3.101138068860997,4.681335810956209
79,3110.9,365.0,765.0,366.0,707.0,983.0,745.0,0.6863657354855824,45.071349963553246,1.524532255757303,-9.904126531391038,0.1066093159706213,14.544556678844229
82,3210.6,365.0,764.0,367.0,700.0,982.0,745.0,0.8388914544823785,44.15619564957247,1.5290806580694118,-8.792597012037952,-0.0153675444137688,7.752926156724237
