frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
106,3638.5,,,,,,,,,,41,859,731,,,,,,,,,,,,,,,
108,3703.0,6,831,637,,,,,,,,,,,,,,,,,,,,,,,,
109,3738.5,7,815,593,,,,,,,,,,,,,,,,,,,,,,,,
111,3803.0,5,786,508,,,,,,,15,761,505,,,,,,,,,,,,,,,
112,3838.3,,,,,,,,,,43,769,468,,,,,,,,,,,,,,,
113,3870.5,7,755,424,,,,,,,44,755,427,,,,,,,,,,,,,,,
114,3903.4,5,740,384,,,,,,,44,738,383,,,,,,,5,739,375,,,,,,
115,3970.3,6,708,304,,,,,,,45,708,303,,,,,,,,,,,,,,,
116,4005.0,5,694,264,,,,,,,45,693,263,,,,,,,,,,,,,,,
117,4044.8,5,679,224,,,,,,,45,678,226,,,,,,,,,,,,,,,
118,4071.0,5,664,187,,,,,,,46,663,188,,,,,,,,,,,,,,,
119,4102.7,,,,,,,,,,46,647,149,,,,,,,,,,,,,,,
120,4138.6,6,631,113,,,,,,,46,631,111,,,,,,,,,,,,,,,
121,4171.1,6,614,75,,,,,,,46,616,75,,,,,,,,,,,,,,,
122,4203.0,5,601,40,,,,,,,47,600,40,,,,,,,,,,,,,,,
123,4238.6,6,583,4,,,,,,,45,584,10,,,,,,,,,,,,,,,
124,4270.5,,,,,,,,,,33,566,1,,,,,,,,,,,,,,,
127,4370.8,,,,,,,,,,32,527,1,,,,,,,,,,,,,,,
128,4402.7,,,,,,,,,,44,516,2,,,,,,,,,,,,,,,
129,4438.8,8,503,10,,,,,,,45,504,12,,,,,,,,,,,,,,,
130,4471.5,7,492,32,,,,,,,47,493,32,,,,,,,,,,,,,,,
131,4503.1,7,481,55,,,,,,,48,484,54,,,,,,,,,,,,,,,
132,4538.5,7,470,78,,,,,,,48,473,77,,,,,,,,,,,,,,,
133,4570.7,7,459,103,,,,,,,47,460,103,,,,,,,,,,,,,,,
134,4602.8,7,449,130,,,,,,,47,452,128,,,,,,,,,,,,,,,
135,4638.4,7,438,156,,,,,,,47,440,155,,,,,,,,,,,,,,,
136,4670.9,7,428,184,,,,,,,47,431,182,,,,,,,,,,,,,,,
137,4702.8,7,418,212,,,,,,,46,419,211,,,,,,,,,,,,,,,
138,4738.6,7,408,242,,,,,,,46,410,240,,,,,,,,,,,,,,,
139,4770.6,7,397,271,,,,,,,46,399,269,,,,,,,,,,,,,,,
140,4803.2,6,387,302,,,,,,,45,390,299,,,,,,,,,,,,,,,
141,4838.4,6,379,334,,,,,,,45,379,332,,,,,,,,,,,,,,,
142,4870.3,6,368,366,,,,,,,44,370,362,,,,,,,,,,,,,,,
143,4905.6,7,359,398,,,,,,,44,360,395,,,,,,,,,,,,,,,
144,4940.0,6,348,430,,,,,,,43,351,428,,,,,,,,,,,,,,,
145,4970.5,7,340,465,,,,,,,43,342,464,,,,,,,,,,,,,,,
146,5002.7,6,330,500,,,,,,,42,332,499,,,,,,,,,,,,,,,
147,5070.7,5,313,572,,,,,,,,,,,,,,,,,,,,,,,,
148,5102.6,6,301,607,,,,,,,,,,,,,,,,,,,,,,,,
149,5144.5,6,292,644,,,,,,,,,,,,,,,,,,,,,,,,
150,5171.4,6,283,683,,,,,,,,,,,,,,,,,,,,,,,,
151,5202.9,5,273,722,,,,,,,23,292,742,,,,,,,,,,,,,,,
152,5238.5,5,264,762,,,,,,,42,266,759,,,,,,,,,,,,,,,
153,5270.6,5,255,802,,,,,,,42,257,799,,,,,,,,,,,,,,,
154,5302.7,6,246,843,,,,,,,42,248,839,,,,,,,,,,,,,,,
155,5338.8,5,237,884,,,,,,,42,239,881,,,,,,,6,240,876,,,,,,
156,5372.7,6,228,926,,,,,,,42,230,922,,,,,,,7,229,918,,,,,,
157,5402.9,6,221,968,,,,,,,43,222,963,,,,,,,,,,,,,,,
158,5438.4,6,212,949,,,,,,,42,214,945,,,,,,,,,,,,,,,
159,5471.0,7,204,928,,,,,,,42,206,925,,,,,,,,,,,,,,,
160,5502.7,7,197,908,,,,,,,43,198,905,,,,,,,,,,,,,,,
161,5538.3,7,189,889,,,,,,,42,190,885,,,,,,,,,,,,,,,
162,5574.0,7,181,871,,,,,,,43,182,866,,,,,,,,,,,,,,,
163,5603.1,7,174,852,,,,,,,43,175,847,,,,,,,,,,,,,,,
164,5638.6,8,167,834,,,,,,,43,167,830,,,,,,,,,,,,,,,
165,5670.7,7,159,817,,,,,,,43,160,814,,,,,,,,,,,,,,,
166,5702.9,8,151,801,,,,,,,43,152,797,,,,,,,,,,,,,,,
167,5770.4,7,136,770,,,,,,,43,137,767,,,,,,,,,,,,,,,
168,5803.0,7,130,756,,,,,,,42,130,753,,,,,,,,,,,,,,,
169,5838.6,7,123,742,,,,,,,41,125,742,,,,,,,,,,,,,,,
170,5870.6,7,115,729,,,,,,,36,117,739,,,,,,,,,,,,,,,
171,5938.4,8,101,705,,,,,,,14,105,734,,,,,,,,,,,,,,,
172,5970.4,7,94,694,,,,,,,,,,,,,,,,,,,,,,,,
173,6006.0,8,88,684,,,,,,,,,,,,,,,,,,,,,,,,
174,6042.8,8,82,674,,,,,,,,,,,,,,,,,,,,,,,,
175,6070.6,9,75,665,,,,,,,,,,,,,,,,,,,,,,,,
176,6102.6,9,68,657,,,,,,,,,,,,,,,,,,,,,,,,
177,6138.6,9,62,650,,,,,,,,,,,,,,,,,,,,,,,,
178,6171.1,8,60,644,,,,,,,,,,,,,,,,,,,,,,,,
179,6203.1,9,64,639,,,,,,,,,,,,,,,,,,,,,,,,
180,6238.7,9,69,634,,,,,,,,,,,,,,,,,,,,,,,,
181,6272.4,8,72,631,,,,,,,,,,,,,,,,,,,,,,,,
182,6303.0,8,77,628,,,,,,,,,,,,,,,,,,,,,,,,
183,6338.7,8,80,626,,,,,,,,,,,,,,,,,,,,,,,,
184,6370.9,9,85,624,,,,,,,,,,,,,,,,,,,,,,,,
185,6402.9,8,89,624,,,,,,,,,,,,,,,,,,,,,,,,
186,6438.5,9,93,625,,,,,,,,,,,,,,,,,,,,,,,,
187,6470.5,8,98,625,,,,,,,,,,,,,,,,,,,,,,,,
188,6509.0,8,103,627,,,,,,,,,,,,,,,,,,,,,,,,
189,6546.4,8,107,630,,,,,,,,,,,,,,,,,,,,,,,,
190,6571.9,8,113,633,,,,,,,,,,,,,,,,,,,,,,,,
191,6603.7,9,117,637,,,,,,,,,,,,,,,,,,,,,,,,
192,6638.5,8,122,643,,,,,,,,,,,,,,,,,,,,,,,,
193,6670.8,8,127,649,,,,,,,,,,,,,,,,,,,,,,,,
194,6703.2,8,133,656,,,,,,,,,,,,,,,,,,,,,,,,
195,6738.6,8,138,664,,,,,,,,,,,,,,,,,,,,,,,,
196,6770.5,7,144,673,,,,,,,,,,,,,,,,,,,,,,,,
197,6802.9,8,150,681,,,,,,,8,148,717,,,,,,,,,,,,,,,
198,6845.9,7,156,692,,,,,,,23,161,719,,,,,,,,,,,,,,,
199,6872.7,8,161,702,,,,,,,23,165,731,,,,,,,,,,,,,,,
200,6903.0,7,169,714,,,,,,,33,173,732,,,,,,,,,,,,,,,
201,6938.4,7,174,727,,,,,,,38,179,734,,,,,,,,,,,,,,,
202,6971.1,7,180,741,,,,,,,41,183,742,,,,,,,,,,,,,,,
203,7003.0,7,187,756,,,,,,,42,189,755,,,,,,,,,,,,,,,
204,7038.4,8,193,771,,,,,,,42,196,770,,,,,,,,,,,,,,,
205,7071.0,8,200,786,,,,,,,43,203,785,,,,,,,,,,,,,,,
206,7103.1,7,207,804,,,,,,,43,209,802,,,,,,,,,,,,,,,
207,7138.4,7,214,821,,,,,,,43,216,818,,,,,,,,,,,,,,,
208,7171.0,7,221,840,,,,,,,43,223,837,,,,,,,,,,,,,,,
209,7203.0,7,228,859,,,,,,,43,230,855,,,,,,,,,,,,,,,
210,7238.4,7,234,878,,,,,,,43,236,874,,,,,,,,,,,,,,,
211,7273.3,7,241,899,,,,,,,43,243,894,,,,,,,,,,,,,,,
212,7303.1,7,248,918,,,,,,,43,250,915,,,,,,,,,,,,,,,
213,7338.8,7,256,941,,,,,,,42,257,936,,,,,,,,,,,,,,,
214,7370.5,7,263,962,,,,,,,43,264,958,,,,,,,,,,,,,,,
215,7403.4,6,267,961,,,,,,,42,268,958,,,,,,,,,,,,,,,
216,7438.7,7,270,949,,,,,,,43,271,947,,,,,,,,,,,,,,,
217,7470.7,7,274,940,,,,,,,43,274,935,,,,,,,,,,,,,,,
218,7502.8,7,277,930,,,,,,,43,278,926,,,,,,,,,,,,,,,
219,7538.9,7,280,921,,,,,,,43,281,916,,,,,,,,,,,,,,,
220,7573.9,7,283,912,,,,,,,42,284,907,,,,,,,,,,,,,,,
221,7602.8,8,287,903,,,,,,,43,288,900,,,,,,,,,,,,,,,
222,7638.5,8,290,896,,,,,,,43,291,893,,,,,,,,,,,,,,,
223,7670.7,8,294,889,,,,,,,43,294,886,,,,,,,,,,,,,,,
224,7702.8,8,298,884,,,,,,,43,298,880,,,,,,,,,,,,,,,
225,7738.5,8,301,879,,,,,,,42,302,874,,,,,,,,,,,,,,,
226,7771.7,8,305,874,,,,,,,43,305,870,,,,,,,,,,,,,,,
227,7802.8,8,309,870,,,,,,,43,309,866,,,,,,,,,,,,,,,
